medicine_id,medicine_name,medicine_type,medicine_cost,used_for
0,Jeye,gel,3772,8
1,Dows,powder,6416,5
2,Apht,tablet,5850,9
3,Mads,tablet,8548,2
4,Rhey,ointment,6101,17
5,Brar,tablet,2622,18
6,Toer,injection,6009,10
7,Trig,gel,5156,15
8,Mion,ointment,1863,12
9,Reie,tablet,1409,18
10,Teer,ointment,6894,18
11,Kans,powder,5570,17
12,Anmd,drops,4512,8
13,Mias,tablet,3049,18
14,Aniz,ointment,5960,8
15,Hoes,tablet,568,5
16,Keng,syrup,8430,16
17,Kett,ointment,2921,9
18,Juee,syrup,4256,15
19,Kyws,capsule,9804,14
20,Crte,tablet,4052,10
21,Luel,cream,7638,16
22,Chce,cream,524,6
23,Taks,tablet,7512,9
24,Coan,drops,5244,15
25,Nice,drops,7007,11
26,Niis,injection,8941,9
27,Naer,ointment,2827,4
28,Kron,drops,1922,16
29,Dang,drops,1458,10
30,Jele,tablet,3882,3
31,Tiis,ointment,7092,6
32,Clon,gel,5390,6
33,Lawn,drops,8538,2
34,Chan,tablet,3610,12
35,Joor,drops,3611,6
36,Taly,injection,4435,13
37,Stse,tablet,8222,16
38,Emer,ointment,9568,18
39,Coar,powder,9927,2
40,Joer,tablet,9131,17
41,Erer,drops,4157,14
42,Rywn,capsule,3870,18
43,Brrd,powder,6744,12
44,Roth,powder,4873,3
45,Jaer,ointment,2390,12
46,Joee,syrup,8486,12
47,Kabs,gel,9294,16
48,Roon,tablet,8993,19
49,Mion,tablet,4756,2
50,Kiez,tablet,4407,6
51,Adez,tablet,3373,17
52,Dais,drops,4057,15
53,Jett,drops,3666,17
54,Keen,gel,5793,0
55,Mrms,powder,7580,4
56,Dams,powder,5020,19
57,Doez,cream,770,15
58,Brld,cream,9785,5
59,Fece,capsule,6579,18
60,Joon,injection,4850,13
61,Isey,drops,1575,14
62,Keak,syrup,3025,18
63,Joer,drops,9256,3
64,Jaer,syrup,718,19
65,Nogs,gel,9731,13
66,Bard,injection,6008,9
67,Joyd,capsule,3242,9
68,Cyng,powder,9866,7
69,Brne,tablet,6192,19
70,Erer,tablet,4206,8
71,Amez,gel,5376,13
72,Stok,cream,4964,13
73,Asis,injection,165,4
74,Keer,cream,6272,19
75,Teon,powder,3338,17
76,Krey,gel,6556,12
77,Taas,powder,4438,14
78,Dott,drops,5230,15
79,Elms,injection,4356,6
80,Eiiz,injection,3303,3
81,Vats,syrup,761,7
82,Beon,ointment,4001,5
83,Anes,cream,5416,15
84,Roas,drops,3239,9
85,Deda,syrup,9953,0
86,Chns,capsule,6202,7
87,Thez,syrup,6567,5
88,Rion,injection,5063,19
89,Joth,injection,9300,4
90,Dand,tablet,3982,19
91,Jore,cream,5678,3
92,Naer,injection,8576,0
93,Trnt,gel,6674,1
94,Joon,ointment,2752,15
95,Kion,capsule,7510,3
96,Lier,tablet,8352,16
97,Brte,gel,7498,1
98,Doza,gel,6496,15
99,Kaes,drops,2468,0
